Data for absorption spectrum
Date: 21-Nov-2012
Data taken by P. Dubson and M. Sparks
time (ms)  signal  uncertainty
1	303.15	0.2
2	303.15	0.21
3	303.15	0.22
4	303.15	0.2
5	303.15	0.21
6	303.15	0.22
7	303.15	0.2
8	303.15	0.21
9	303.15	0.22
10	303.15	0.2
11	303.15	0.21
12	303.15	0.22
13	303.15	0.2
14	303.15	0.21
15	303.1500001	0.22
16	303.1500002	0.2
17	303.1500004	0.21
18	303.1500009	0.22
19	303.1500019	0.2
20	303.1500037	0.21
21	303.1500067	0.22
22	303.1500118	0.2
23	303.1500196	0.21
24	303.1500314	0.22
25	303.1500486	0.2
26	303.1500728	0.21
27	303.1501061	0.22
28	303.1501507	0.2
29	303.1502092	0.21
30	303.1502847	0.22
31	303.1503803	0.2
32	303.1504994	0.21
33	303.150646	0.22
34	303.1508239	0.2
35	303.1510373	0.21
36	303.1512907	0.22
37	303.1515886	0.2
38	303.1519357	0.21
39	303.1523368	0.22
40	303.1527967	0.2
41	303.1533204	0.21
42	303.1539128	0.22
43	303.1545788	0.2
44	303.1553235	0.21
45	303.1561516	0.22
46	303.157068	0.2
47	303.1580776	0.21
48	303.159185	0.22
49	303.1603948	0.2
50	303.1617114	0.21
51	303.1631393	0.22
52	303.1646826	0.2
53	303.1663455	0.21
54	303.1681319	0.22
55	303.1700457	0.2
56	303.1720904	0.21
57	303.1742697	0.22
58	303.1765867	0.2
59	303.1790448	0.21
60	303.181647	0.22
61	303.1843961	0.2
62	303.1872949	0.21
63	303.190346	0.22
64	303.1935517	0.2
65	303.1969144	0.21
66	303.2004362	0.22
67	303.204119	0.2
68	303.2079646	0.21
69	303.2119749	0.22
70	303.2161513	0.2
71	303.2204953	0.21
72	303.2250082	0.22
73	303.2296911	0.2
74	303.2345452	0.21
75	303.2395714	0.22
76	303.2447706	0.2
77	303.2501433	0.21
78	303.2556904	0.22
79	303.2614123	0.2
80	303.2673094	0.21
81	303.2733821	0.22
82	303.2796307	0.2
83	303.2860553	0.21
84	303.2926559	0.22
85	303.2994327	0.2
86	303.3063854	0.21
87	303.3135141	0.22
88	303.3208185	0.2
89	303.3282983	0.21
90	303.3359531	0.22
91	303.3437827	0.2
92	303.3517865	0.21
93	303.3599641	0.22
94	303.3683148	0.2
95	303.3768382	0.21
96	303.3855336	0.22
97	303.3944002	0.2
98	303.4034374	0.21
99	303.4126445	0.22
100	303.4220205	0.2
